auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.1208,0.7729,0.1274,0.1429,0.3261,0.1987,EmailSpam-bert,D,AE,0.04397705544933078,1046,46
0.7119,0.9429,0.7182,0.6727,0.74,0.7048,CreditCard,D,VAE,0.09090909090909091,2200,200
0.1484,0.8238,0.1559,0.1619,0.3696,0.2252,EmailSpam-bert,B,DeepSVDD,0.04397705544933078,1046,46
0.8785,0.9873,0.8794,0.4095,0.9348,0.5695,EmailSpam-bert,A,FEAWAD,0.04397705544933078,1046,46
0.1636,0.6338,0.1675,0.2,0.22,0.2095,AnnThyroid,D,DeepSVDD,0.09090909090909091,1100,100
0.445,0.8289,0.447,0.3455,0.38,0.3619,AnnThyroid,A,DeepSVDD,0.09090909090909091,1100,100
0.7184,0.9255,0.5278,0.5631,0.87,0.6837,CreditCard,B,SO_GAAL,0.09090909090909091,2200,200
0.8832,0.9723,0.886,0.8227,0.905,0.8619,CreditCard,B,FEAWAD,0.09090909090909091,2200,200
0.561,0.9014,0.5678,0.5909,0.65,0.619,CreditCard,C,LUNAR,0.09090909090909091,2200,200
0.8524,0.9876,0.8535,0.7818,0.86,0.819,AnnThyroid,B,FTTransformer,0.09090909090909091,1100,100
0.9413,0.9687,0.9413,0.8318,0.915,0.8714,CreditCard,B,DevNet,0.09090909090909091,2200,200
0.7219,0.917,0.5513,0.6035,0.86,0.7093,CreditCard,C,SO_GAAL,0.09090909090909091,2200,200
0.8595,0.9418,0.8597,0.7455,0.82,0.781,CreditCard,B,GANoma,0.09090909090909091,2200,200
0.6415,0.9205,0.6436,0.5182,0.57,0.5429,NSL-KDD,B,LUNAR,0.09090909090909091,2200,200
0.8622,0.935,0.8629,0.4,0.913,0.5563,EmailSpam-bert,C,DevNet,0.04397705544933078,1046,46
0.0501,0.5707,0.0526,0.0571,0.1304,0.0795,EmailSpam-bert,D,DeepSVDD,0.04397705544933078,1046,46
0.8748,0.9734,0.8773,0.8455,0.93,0.8857,NSL-KDD,A,FEAWAD,0.09090909090909091,2200,200
0.1474,0.6498,0.1502,0.1182,0.13,0.1238,AnnThyroid,B,GANoma,0.09090909090909091,1100,100
0.7212,0.9441,0.7232,0.6682,0.735,0.7,CreditCard,C,DeepSVDD,0.09090909090909091,2200,200
0.8512,0.9691,0.8539,0.8091,0.89,0.8476,CreditCard,C,FEAWAD,0.09090909090909091,2200,200
0.1237,0.6154,0.127,0.1182,0.13,0.1238,AnnThyroid,C,GANoma,0.09090909090909091,1100,100
0.6411,0.868,0.6161,0.6,0.66,0.6286,NSL-KDD,B,SO_GAAL,0.09090909090909091,2200,200
0.7344,0.8901,0.7348,0.6318,0.695,0.6619,CreditCard,B,DAGMM,0.09090909090909091,2200,200
0.8499,0.9865,0.851,0.4,0.913,0.5563,EmailSpam-bert,C,FEAWAD,0.04397705544933078,1046,46
0.3973,0.841,0.4009,0.3818,0.42,0.4,AnnThyroid,A,AE,0.09090909090909091,1100,100
0.7403,0.9482,0.7452,0.7091,0.78,0.7429,CreditCard,C,VAE,0.09090909090909091,2200,200
0.9687,0.9927,0.9688,0.8636,0.95,0.9048,NSL-KDD,A,FTTransformer,0.09090909090909091,2200,200
0.8195,0.9733,0.82,0.7318,0.805,0.7667,NSL-KDD,B,VAE,0.09090909090909091,2200,200
0.6784,0.9221,0.6849,0.6773,0.745,0.7095,CreditCard,B,DeepSVDD,0.09090909090909091,2200,200
0.2798,0.7825,0.2865,0.3273,0.36,0.3429,AnnThyroid,C,LUNAR,0.09090909090909091,1100,100
0.1372,0.6078,0.1413,0.1727,0.19,0.181,AnnThyroid,D,GANoma,0.09090909090909091,1100,100
0.9598,0.9816,0.9599,0.8545,0.94,0.8952,NSL-KDD,B,DevNet,0.09090909090909091,2200,200
0.8659,0.9739,0.8672,0.419,0.9565,0.5828,EmailSpam-bert,A,DevNet,0.04397705544933078,1046,46
0.8519,0.9881,0.853,0.7818,0.86,0.819,AnnThyroid,A,DevNet,0.09090909090909091,1100,100
0.2539,0.7446,0.2595,0.3,0.33,0.3143,AnnThyroid,D,LUNAR,0.09090909090909091,1100,100
0.1359,0.8132,0.1428,0.1619,0.3696,0.2252,EmailSpam-bert,A,AE,0.04397705544933078,1046,46
0.7398,0.9649,0.7404,0.5818,0.64,0.6095,NSL-KDD,B,AE,0.09090909090909091,2200,200
0.8557,0.9885,0.8568,0.7818,0.86,0.819,AnnThyroid,B,DevNet,0.09090909090909091,1100,100
0.078,0.5593,0.0854,0.1038,0.2391,0.1447,EmailSpam-bert,D,SO_GAAL,0.04397705544933078,1046,46
0.1005,0.7351,0.106,0.1429,0.3261,0.1987,EmailSpam-bert,A,GANoma,0.04397705544933078,1046,46
0.8405,0.9878,0.8424,0.8091,0.89,0.8476,AnnThyroid,D,FTTransformer,0.09090909090909091,1100,100
0.944,0.9768,0.9441,0.8318,0.915,0.8714,CreditCard,C,DevNet,0.09090909090909091,2200,200
0.0615,0.597,0.0641,0.0943,0.2174,0.1316,EmailSpam-bert,B,SO_GAAL,0.04397705544933078,1046,46
0.0948,0.7175,0.0995,0.1238,0.2826,0.1722,EmailSpam-bert,B,GANoma,0.04397705544933078,1046,46
0.7608,0.9285,0.636,0.7017,0.835,0.7626,CreditCard,D,SO_GAAL,0.09090909090909091,2200,200
0.8076,0.9491,0.8081,0.6955,0.765,0.7286,CreditCard,D,GANoma,0.09090909090909091,2200,200
0.3507,0.7875,0.3549,0.35,0.385,0.3667,CreditCard,C,GANoma,0.09090909090909091,2200,200
0.4593,0.8652,0.4619,0.3864,0.425,0.4048,NSL-KDD,C,LUNAR,0.09090909090909091,2200,200
0.0933,0.4969,0.0961,0.1091,0.12,0.1143,AnnThyroid,C,DAGMM,0.09090909090909091,1100,100
0.6412,0.955,0.6454,0.6636,0.73,0.6952,NSL-KDD,A,DeepSVDD,0.09090909090909091,2200,200
0.7276,0.963,0.7285,0.6773,0.745,0.7095,NSL-KDD,D,VAE,0.09090909090909091,2200,200
0.6856,0.9657,0.6881,0.7364,0.81,0.7714,NSL-KDD,A,GANoma,0.09090909090909091,2200,200
0.7186,0.9639,0.7211,0.7227,0.795,0.7571,NSL-KDD,B,DeepSVDD,0.09090909090909091,2200,200
0.141,0.814,0.148,0.1619,0.3696,0.2252,EmailSpam-bert,B,AE,0.04397705544933078,1046,46
0.2931,0.7703,0.2982,0.3364,0.37,0.3524,AnnThyroid,B,LUNAR,0.09090909090909091,1100,100
0.7078,0.9223,0.7106,0.3619,0.8261,0.5033,EmailSpam-bert,D,DevNet,0.04397705544933078,1046,46
0.09,0.5025,0.0919,0.0571,0.1304,0.0795,EmailSpam-bert,D,DAGMM,0.04397705544933078,1046,46
0.962,0.9885,0.962,0.85,0.935,0.8905,NSL-KDD,B,FTTransformer,0.09090909090909091,2200,200
0.4655,0.8815,0.4691,0.5455,0.6,0.5714,CreditCard,D,LUNAR,0.09090909090909091,2200,200
0.4202,0.804,0.4221,0.3545,0.39,0.3714,AnnThyroid,B,DeepSVDD,0.09090909090909091,1100,100
0.8768,0.9917,0.8779,0.4286,0.9783,0.596,EmailSpam-bert,D,FEAWAD,0.04397705544933078,1046,46
0.0988,0.7188,0.1062,0.1143,0.2609,0.1589,EmailSpam-bert,D,GANoma,0.04397705544933078,1046,46
0.8306,0.9771,0.8317,0.7182,0.79,0.7524,AnnThyroid,B,FEAWAD,0.09090909090909091,1100,100
0.1003,0.7835,0.1051,0.1238,0.2826,0.1722,EmailSpam-bert,D,VAE,0.04397705544933078,1046,46
0.4017,0.7984,0.404,0.3455,0.38,0.3619,AnnThyroid,B,VAE,0.09090909090909091,1100,100
0.8812,0.99,0.8822,0.4286,0.9783,0.596,EmailSpam-bert,B,DevNet,0.04397705544933078,1046,46
0.6162,0.9335,0.6172,0.5227,0.575,0.5476,NSL-KDD,D,AE,0.09090909090909091,2200,200
0.7123,0.9495,0.7191,0.7182,0.79,0.7524,CreditCard,A,AE,0.09090909090909091,2200,200
0.7678,0.9811,0.775,0.3905,0.8913,0.543,EmailSpam-bert,C,FTTransformer,0.04397705544933078,1046,46
0.709,0.9014,0.6918,0.7014,0.775,0.7363,NSL-KDD,C,SO_GAAL,0.09090909090909091,2200,200
0.1251,0.8051,0.1317,0.1333,0.3043,0.1854,EmailSpam-bert,D,LUNAR,0.04397705544933078,1046,46
0.7421,0.9558,0.7439,0.6909,0.76,0.7238,AnnThyroid,A,FEAWAD,0.09090909090909091,1100,100
0.7685,0.9836,0.7709,0.8227,0.905,0.8619,NSL-KDD,D,FEAWAD,0.09090909090909091,2200,200
0.035,0.4152,0.0364,0.0286,0.0652,0.0397,EmailSpam-bert,B,DAGMM,0.04397705544933078,1046,46
0.1028,0.7885,0.1078,0.1238,0.2826,0.1722,EmailSpam-bert,C,VAE,0.04397705544933078,1046,46
0.3799,0.8892,0.383,0.5364,0.59,0.5619,NSL-KDD,A,DAGMM,0.09090909090909091,2200,200
0.8577,0.9886,0.8588,0.7818,0.86,0.819,AnnThyroid,C,DevNet,0.09090909090909091,1100,100
0.2905,0.6624,0.1736,0.2441,0.31,0.2731,AnnThyroid,A,SO_GAAL,0.09090909090909091,1100,100
0.1607,0.8539,0.1686,0.1619,0.3696,0.2252,EmailSpam-bert,A,LUNAR,0.04397705544933078,1046,46
0.0604,0.6152,0.0632,0.0667,0.1522,0.0927,EmailSpam-bert,A,DAGMM,0.04397705544933078,1046,46
0.4129,0.8042,0.415,0.3636,0.4,0.381,AnnThyroid,A,VAE,0.09090909090909091,1100,100
0.7377,0.9723,0.7404,0.8455,0.93,0.8857,NSL-KDD,B,FEAWAD,0.09090909090909091,2200,200
0.1306,0.797,0.1374,0.1524,0.3478,0.2119,EmailSpam-bert,C,AE,0.04397705544933078,1046,46
0.1507,0.8404,0.1579,0.1524,0.3478,0.2119,EmailSpam-bert,B,LUNAR,0.04397705544933078,1046,46
0.7807,0.9712,0.7812,0.6864,0.755,0.719,NSL-KDD,A,AE,0.09090909090909091,2200,200
0.1615,0.5927,0.1608,0.2455,0.27,0.2571,AnnThyroid,B,DAGMM,0.09090909090909091,1100,100
