auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.1271,0.5577,0.1333,0.1455,0.16,0.1524,AnnThyroid,C,GANoma,0.09090909090909091,1100,100
0.5856,0.8196,0.564,0.5339,0.59,0.5606,NSL-KDD,B,SO_GAAL,0.09090909090909091,2200,200
0.5266,0.8129,0.5275,0.4773,0.525,0.5,CreditCard,B,DAGMM,0.09090909090909091,2200,200
0.6652,0.97,0.6717,0.381,0.8696,0.5298,EmailSpam-bert,C,FEAWAD,0.04397705544933078,1046,46
0.4153,0.8369,0.4182,0.3545,0.39,0.3714,AnnThyroid,A,AE,0.09090909090909091,1100,100
0.7353,0.9474,0.7402,0.6955,0.765,0.7286,CreditCard,C,VAE,0.09090909090909091,2200,200
0.97,0.992,0.97,0.8682,0.955,0.9095,NSL-KDD,A,FTTransformer,0.09090909090909091,2200,200
0.8212,0.9726,0.8217,0.7318,0.805,0.7667,NSL-KDD,B,VAE,0.09090909090909091,2200,200
0.7502,0.9587,0.7545,0.7091,0.78,0.7429,CreditCard,B,DeepSVDD,0.09090909090909091,2200,200
0.2397,0.7547,0.2453,0.2909,0.32,0.3048,AnnThyroid,C,LUNAR,0.09090909090909091,1100,100
