model;dataset;scenario;time
GANoma;NSL-KDD;A;13.34
FTTransformer;NSL-KDD;B;684.42
FEAWAD;NSL-KDD;B;269.07
DevNet;NSL-KDD;B;13.22
FTTransformer;NSL-KDD;C;924.87
FEAWAD;NSL-KDD;C;274.54
DevNet;NSL-KDD;C;12.98
FTTransformer;NSL-KDD;D;968.96
FEAWAD;NSL-KDD;D;272.74
DevNet;NSL-KDD;D;12.8
FTTransformer;NSL-KDD;E;1013.21
FEAWAD;NSL-KDD;E;276.5
DevNet;NSL-KDD;E;13.35
AE;CreditCard;A;4.14
VAE;CreditCard;A;26.72
DeepSVDD;CreditCard;A;5.84
DAGMM;CreditCard;A;22.58
SO_GAAL;CreditCard;A;18.47
LUNAR;CreditCard;A;4.24
GANoma;CreditCard;A;9.94
FTTransformer;CreditCard;B;262.81
FEAWAD;CreditCard;B;266.4
DevNet;CreditCard;B;13.27
FTTransformer;CreditCard;C;301.3
FEAWAD;CreditCard;C;261.56
DevNet;CreditCard;C;12.47
FTTransformer;CreditCard;D;295.33
FEAWAD;CreditCard;D;261.58
DevNet;CreditCard;D;12.73
FTTransformer;CreditCard;E;394.31
FEAWAD;CreditCard;E;270.76
DevNet;CreditCard;E;12.78
AE;AnnThyroid;A;2.84
VAE;AnnThyroid;A;16.61
DeepSVDD;AnnThyroid;A;3.45
DAGMM;AnnThyroid;A;13.32
SO_GAAL;AnnThyroid;A;4.09
LUNAR;AnnThyroid;A;3.57
GANoma;AnnThyroid;A;5.55
FTTransformer;AnnThyroid;B;73.46000000000001
FEAWAD;AnnThyroid;B;261.31
DevNet;AnnThyroid;B;13.12
FTTransformer;AnnThyroid;C;81.53
FEAWAD;AnnThyroid;C;265.32
DevNet;AnnThyroid;C;13.26
FTTransformer;AnnThyroid;D;178.19
FEAWAD;AnnThyroid;D;262.53
DevNet;AnnThyroid;D;12.74
FTTransformer;AnnThyroid;E;181.38
FEAWAD;AnnThyroid;E;261.09
DevNet;AnnThyroid;E;12.58
AE;EmailSpam-bert;A;2.23
VAE;EmailSpam-bert;A;28.65
DeepSVDD;EmailSpam-bert;A;3.21
DAGMM;EmailSpam-bert;A;10.31
SO_GAAL;EmailSpam-bert;A;11.67
LUNAR;EmailSpam-bert;A;3.11
GANoma;EmailSpam-bert;A;8.5
FTTransformer;EmailSpam-bert;B;2580.47
FEAWAD;EmailSpam-bert;B;379.4
DevNet;EmailSpam-bert;B;12.64
FTTransformer;EmailSpam-bert;C;5621.42
FEAWAD;EmailSpam-bert;C;384.76
DevNet;EmailSpam-bert;C;12.83
