model;dataset;scenario;time
SO_GAAL;NSL-KDD;A;19.17
LUNAR;NSL-KDD;A;5.38
GANoma;NSL-KDD;A;14.7
FTTransformer;NSL-KDD;B;731.82
FEAWAD;NSL-KDD;B;273.74
DevNet;NSL-KDD;B;13.27
FTTransformer;NSL-KDD;C;929.29
FEAWAD;NSL-KDD;C;275.47
DevNet;NSL-KDD;C;13.15
FTTransformer;NSL-KDD;D;887.3
FEAWAD;NSL-KDD;D;275.88
DevNet;NSL-KDD;D;12.57
FTTransformer;NSL-KDD;E;1029.82
FEAWAD;NSL-KDD;E;276.74
DevNet;NSL-KDD;E;12.97
AE;CreditCard;A;5.03
VAE;CreditCard;A;27.89
DeepSVDD;CreditCard;A;5.72
DAGMM;CreditCard;A;23.35
SO_GAAL;CreditCard;A;19.0
LUNAR;CreditCard;A;4.6
GANoma;CreditCard;A;10.25
FTTransformer;CreditCard;B;193.23
FEAWAD;CreditCard;B;263.13
DevNet;CreditCard;B;13.4
FTTransformer;CreditCard;C;262.76
FEAWAD;CreditCard;C;268.98
DevNet;CreditCard;C;12.9
FTTransformer;CreditCard;D;346.49
FEAWAD;CreditCard;D;268.19
DevNet;CreditCard;D;12.44
FTTransformer;CreditCard;E;391.37
FEAWAD;CreditCard;E;270.0
DevNet;CreditCard;E;12.9
AE;AnnThyroid;A;2.49
VAE;AnnThyroid;A;16.03
DeepSVDD;AnnThyroid;A;3.3
DAGMM;AnnThyroid;A;12.94
SO_GAAL;AnnThyroid;A;3.98
LUNAR;AnnThyroid;A;3.2
GANoma;AnnThyroid;A;5.5
FTTransformer;AnnThyroid;B;90.52
FEAWAD;AnnThyroid;B;272.86
DevNet;AnnThyroid;B;13.07
FTTransformer;AnnThyroid;C;80.3
FEAWAD;AnnThyroid;C;266.3
DevNet;AnnThyroid;C;12.96
FTTransformer;AnnThyroid;D;171.07
FEAWAD;AnnThyroid;D;264.95
DevNet;AnnThyroid;D;13.29
FTTransformer;AnnThyroid;E;192.6
FEAWAD;AnnThyroid;E;268.3
DevNet;AnnThyroid;E;12.79
AE;EmailSpam-bert;A;1.95
VAE;EmailSpam-bert;A;29.3
DeepSVDD;EmailSpam-bert;A;3.91
DAGMM;EmailSpam-bert;A;11.03
SO_GAAL;EmailSpam-bert;A;12.43
LUNAR;EmailSpam-bert;A;2.87
GANoma;EmailSpam-bert;A;8.87
FTTransformer;EmailSpam-bert;B;2411.67
FEAWAD;EmailSpam-bert;B;373.77
DevNet;EmailSpam-bert;B;12.91
FTTransformer;EmailSpam-bert;C;4960.82
FEAWAD;EmailSpam-bert;C;381.19
DevNet;EmailSpam-bert;C;13.33
FTTransformer;EmailSpam-bert;D;2100.38
FEAWAD;EmailSpam-bert;D;383.5
DevNet;EmailSpam-bert;D;12.96
FTTransformer;EmailSpam-bert;E;3974.75
FEAWAD;EmailSpam-bert;E;379.24
DevNet;EmailSpam-bert;E;12.79
AE;NSL-KDD;A;6.58
VAE;NSL-KDD;A;34.94
DeepSVDD;NSL-KDD;A;5.65
DAGMM;NSL-KDD;A;24.81
SO_GAAL;NSL-KDD;A;20.94
LUNAR;NSL-KDD;A;6.59
GANoma;NSL-KDD;A;14.59
FTTransformer;NSL-KDD;B;987.29
FEAWAD;NSL-KDD;B;277.8
DevNet;NSL-KDD;B;13.95
FTTransformer;NSL-KDD;C;969.73
FEAWAD;NSL-KDD;C;282.09000000000003
DevNet;NSL-KDD;C;12.58
FTTransformer;NSL-KDD;D;649.57
FEAWAD;NSL-KDD;D;278.14
DevNet;NSL-KDD;D;13.24
FTTransformer;NSL-KDD;E;1037.51
FEAWAD;NSL-KDD;E;279.65999999999997
DevNet;NSL-KDD;E;13.79
AE;CreditCard;A;5.02
VAE;CreditCard;A;30.84
DeepSVDD;CreditCard;A;5.93
DAGMM;CreditCard;A;66.23
SO_GAAL;CreditCard;A;20.34
LUNAR;CreditCard;A;4.77
GANoma;CreditCard;A;9.79
FTTransformer;CreditCard;B;298.39
FEAWAD;CreditCard;B;266.98
DevNet;CreditCard;B;12.92
FTTransformer;CreditCard;C;326.61
FEAWAD;CreditCard;C;260.96
DevNet;CreditCard;C;12.68
FTTransformer;CreditCard;D;353.1
FEAWAD;CreditCard;D;262.51
DevNet;CreditCard;D;12.6
FTTransformer;CreditCard;E;417.55
FEAWAD;CreditCard;E;261.84
DevNet;CreditCard;E;12.34
AE;AnnThyroid;A;3.14
VAE;AnnThyroid;A;18.59
DeepSVDD;AnnThyroid;A;3.37
DAGMM;AnnThyroid;A;15.91
SO_GAAL;AnnThyroid;A;4.18
LUNAR;AnnThyroid;A;3.76
GANoma;AnnThyroid;A;5.74
FTTransformer;AnnThyroid;B;63.12
FEAWAD;AnnThyroid;B;263.64
DevNet;AnnThyroid;B;12.86
FTTransformer;AnnThyroid;C;90.37
FEAWAD;AnnThyroid;C;263.68
DevNet;AnnThyroid;C;12.89
FTTransformer;AnnThyroid;D;182.35
FEAWAD;AnnThyroid;D;260.85
DevNet;AnnThyroid;D;12.87
FTTransformer;AnnThyroid;E;190.28
FEAWAD;AnnThyroid;E;262.27
DevNet;AnnThyroid;E;12.55
AE;EmailSpam-bert;A;2.01
VAE;EmailSpam-bert;A;29.37
DeepSVDD;EmailSpam-bert;A;3.96
DAGMM;EmailSpam-bert;A;11.37
SO_GAAL;EmailSpam-bert;A;11.91
LUNAR;EmailSpam-bert;A;2.89
GANoma;EmailSpam-bert;A;9.02
FTTransformer;EmailSpam-bert;B;2974.85
FEAWAD;EmailSpam-bert;B;390.35
DevNet;EmailSpam-bert;B;13.72
FTTransformer;EmailSpam-bert;C;8495.54
FEAWAD;EmailSpam-bert;C;391.85
DevNet;EmailSpam-bert;C;12.87
FTTransformer;EmailSpam-bert;D;1605.44
FEAWAD;EmailSpam-bert;D;380.0
DevNet;EmailSpam-bert;D;12.71
FTTransformer;EmailSpam-bert;E;4056.88
FEAWAD;EmailSpam-bert;E;372.26
DevNet;EmailSpam-bert;E;12.76
AE;NSL-KDD;A;5.53
VAE;NSL-KDD;A;29.19
DeepSVDD;NSL-KDD;A;6.0
DAGMM;NSL-KDD;A;22.15
SO_GAAL;NSL-KDD;A;19.96
LUNAR;NSL-KDD;A;4.98
GANoma;NSL-KDD;A;12.44
FTTransformer;NSL-KDD;B;750.47
FEAWAD;NSL-KDD;B;267.57
DevNet;NSL-KDD;B;13.33
FTTransformer;NSL-KDD;C;666.16
FEAWAD;NSL-KDD;C;269.38
DevNet;NSL-KDD;C;12.74
FTTransformer;NSL-KDD;D;985.08
FEAWAD;NSL-KDD;D;268.72
DevNet;NSL-KDD;D;13.17
FTTransformer;NSL-KDD;E;1106.32
FEAWAD;NSL-KDD;E;275.0
DevNet;NSL-KDD;E;13.36
AE;CreditCard;A;4.47
VAE;CreditCard;A;30.68
DeepSVDD;CreditCard;A;6.26
DAGMM;CreditCard;A;24.21
SO_GAAL;CreditCard;A;19.88
LUNAR;CreditCard;A;4.69
GANoma;CreditCard;A;10.21
FTTransformer;CreditCard;B;224.4
FEAWAD;CreditCard;B;264.23
DevNet;CreditCard;B;12.86
FTTransformer;CreditCard;C;310.77
FEAWAD;CreditCard;C;263.25
DevNet;CreditCard;C;13.01
FTTransformer;CreditCard;D;270.97
FEAWAD;CreditCard;D;266.58
DevNet;CreditCard;D;12.55
FTTransformer;CreditCard;E;408.59000000000003
FEAWAD;CreditCard;E;264.35
DevNet;CreditCard;E;12.41
AE;AnnThyroid;A;2.41
VAE;AnnThyroid;A;16.04
DeepSVDD;AnnThyroid;A;3.59
DAGMM;AnnThyroid;A;14.0
SO_GAAL;AnnThyroid;A;4.05
LUNAR;AnnThyroid;A;3.34
GANoma;AnnThyroid;A;5.86
FTTransformer;AnnThyroid;B;85.46000000000001
FEAWAD;AnnThyroid;B;259.69
DevNet;AnnThyroid;B;13.1
FTTransformer;AnnThyroid;C;76.08
FEAWAD;AnnThyroid;C;260.3
DevNet;AnnThyroid;C;13.19
FTTransformer;AnnThyroid;D;176.36
FEAWAD;AnnThyroid;D;259.31
DevNet;AnnThyroid;D;12.95
FTTransformer;AnnThyroid;E;141.11
FEAWAD;AnnThyroid;E;257.92
DevNet;AnnThyroid;E;13.04
AE;EmailSpam-bert;A;1.99
VAE;EmailSpam-bert;A;28.65
DeepSVDD;EmailSpam-bert;A;3.38
DAGMM;EmailSpam-bert;A;10.63
SO_GAAL;EmailSpam-bert;A;11.75
LUNAR;EmailSpam-bert;A;3.03
GANoma;EmailSpam-bert;A;8.23
FTTransformer;EmailSpam-bert;B;2335.92
FEAWAD;EmailSpam-bert;B;377.15
DevNet;EmailSpam-bert;B;12.88
FTTransformer;EmailSpam-bert;C;2417.78
FEAWAD;EmailSpam-bert;C;384.15
DevNet;EmailSpam-bert;C;13.09
FTTransformer;EmailSpam-bert;D;2045.03
FEAWAD;EmailSpam-bert;D;380.98
DevNet;EmailSpam-bert;D;12.93
FTTransformer;EmailSpam-bert;E;3259.29
FEAWAD;EmailSpam-bert;E;379.43
DevNet;EmailSpam-bert;E;13.08
AE;NSL-KDD;A;8.75
VAE;NSL-KDD;A;35.67
DeepSVDD;NSL-KDD;A;5.94
DAGMM;NSL-KDD;A;33.62
SO_GAAL;NSL-KDD;A;29.69
LUNAR;NSL-KDD;A;6.66
GANoma;NSL-KDD;A;15.38
FTTransformer;NSL-KDD;B;1214.21
FEAWAD;NSL-KDD;B;313.53
DevNet;NSL-KDD;B;13.39
FTTransformer;NSL-KDD;C;1848.28
FEAWAD;NSL-KDD;C;299.03
DevNet;NSL-KDD;C;12.71
FTTransformer;NSL-KDD;D;766.59
FEAWAD;NSL-KDD;D;279.86
DevNet;NSL-KDD;D;13.08
FTTransformer;NSL-KDD;E;2667.07
FEAWAD;NSL-KDD;E;275.87
DevNet;NSL-KDD;E;13.47
AE;CreditCard;A;4.15
VAE;CreditCard;A;30.19
DeepSVDD;CreditCard;A;6.02
DAGMM;CreditCard;A;25.95
SO_GAAL;CreditCard;A;21.18
LUNAR;CreditCard;A;4.26
GANoma;CreditCard;A;10.02
FTTransformer;CreditCard;B;250.69
FEAWAD;CreditCard;B;295.54
DevNet;CreditCard;B;13.23
FTTransformer;CreditCard;C;570.42
FEAWAD;CreditCard;C;293.12
DevNet;CreditCard;C;12.58
FTTransformer;CreditCard;D;773.02
FEAWAD;CreditCard;D;270.61
DevNet;CreditCard;D;12.32
FTTransformer;CreditCard;E;419.6
FEAWAD;CreditCard;E;261.52
DevNet;CreditCard;E;13.3
AE;AnnThyroid;A;2.48
VAE;AnnThyroid;A;16.85
DeepSVDD;AnnThyroid;A;3.4
DAGMM;AnnThyroid;A;13.73
SO_GAAL;AnnThyroid;A;4.21
LUNAR;AnnThyroid;A;3.3
GANoma;AnnThyroid;A;5.69
FTTransformer;AnnThyroid;B;68.19
FEAWAD;AnnThyroid;B;258.49
DevNet;AnnThyroid;B;12.99
FTTransformer;AnnThyroid;C;101.68
FEAWAD;AnnThyroid;C;260.12
DevNet;AnnThyroid;C;12.97
FTTransformer;AnnThyroid;D;143.52
FEAWAD;AnnThyroid;D;264.89
DevNet;AnnThyroid;D;12.8
FTTransformer;AnnThyroid;E;479.74
FEAWAD;AnnThyroid;E;304.08
DevNet;AnnThyroid;E;13.17
AE;EmailSpam-bert;A;2.73
VAE;EmailSpam-bert;A;130.03
DeepSVDD;EmailSpam-bert;A;3.32
DAGMM;EmailSpam-bert;A;41.32
SO_GAAL;EmailSpam-bert;A;33.12
LUNAR;EmailSpam-bert;A;3.04
GANoma;EmailSpam-bert;A;8.94
FTTransformer;EmailSpam-bert;B;2970.34
FEAWAD;EmailSpam-bert;B;414.76
DevNet;EmailSpam-bert;B;12.71
FTTransformer;EmailSpam-bert;C;2315.12
FEAWAD;EmailSpam-bert;C;388.33
DevNet;EmailSpam-bert;C;14.39
FTTransformer;EmailSpam-bert;D;2012.99
FEAWAD;EmailSpam-bert;D;393.18
DevNet;EmailSpam-bert;D;12.82
FTTransformer;EmailSpam-bert;E;2791.24
FEAWAD;EmailSpam-bert;E;386.95
DevNet;EmailSpam-bert;E;12.52
AE;NSL-KDD;A;5.37
VAE;NSL-KDD;A;28.98
DeepSVDD;NSL-KDD;A;5.85
DAGMM;NSL-KDD;A;23.08
SO_GAAL;NSL-KDD;A;19.31
LUNAR;NSL-KDD;A;5.9
GANoma;NSL-KDD;A;13.07
FTTransformer;NSL-KDD;B;255.6
FEAWAD;NSL-KDD;B;268.52
DevNet;NSL-KDD;B;13.93
FTTransformer;NSL-KDD;C;841.31
FEAWAD;NSL-KDD;C;268.07
DevNet;NSL-KDD;C;13.08
FTTransformer;NSL-KDD;D;598.07
FEAWAD;NSL-KDD;D;270.81
DevNet;NSL-KDD;D;13.01
FTTransformer;NSL-KDD;E;1023.16
FEAWAD;NSL-KDD;E;270.26
DevNet;NSL-KDD;E;13.34
AE;CreditCard;A;4.15
VAE;CreditCard;A;26.66
DeepSVDD;CreditCard;A;5.54
DAGMM;CreditCard;A;26.92
SO_GAAL;CreditCard;A;21.11
LUNAR;CreditCard;A;5.37
GANoma;CreditCard;A;9.74
FTTransformer;CreditCard;B;190.74
FEAWAD;CreditCard;B;258.18
DevNet;CreditCard;B;13.09
FTTransformer;CreditCard;C;269.37
FEAWAD;CreditCard;C;255.09
DevNet;CreditCard;C;13.04
FTTransformer;CreditCard;D;396.82
FEAWAD;CreditCard;D;255.21
DevNet;CreditCard;D;12.79
FTTransformer;CreditCard;E;406.11
FEAWAD;CreditCard;E;256.34
DevNet;CreditCard;E;12.41
AE;AnnThyroid;A;2.76
VAE;AnnThyroid;A;15.37
DeepSVDD;AnnThyroid;A;3.45
DAGMM;AnnThyroid;A;12.69
SO_GAAL;AnnThyroid;A;4.02
LUNAR;AnnThyroid;A;3.07
GANoma;AnnThyroid;A;5.65
FTTransformer;AnnThyroid;B;69.27
FEAWAD;AnnThyroid;B;253.25
DevNet;AnnThyroid;B;12.62
FTTransformer;AnnThyroid;C;107.96000000000001
FEAWAD;AnnThyroid;C;256.98
DevNet;AnnThyroid;C;12.82
FTTransformer;AnnThyroid;D;175.14
FEAWAD;AnnThyroid;D;255.83
DevNet;AnnThyroid;D;13.27
FTTransformer;AnnThyroid;E;183.23
FEAWAD;AnnThyroid;E;253.98
DevNet;AnnThyroid;E;13.01
AE;EmailSpam-bert;A;1.89
VAE;EmailSpam-bert;A;31.33
DeepSVDD;EmailSpam-bert;A;3.94
DAGMM;EmailSpam-bert;A;12.8
SO_GAAL;EmailSpam-bert;A;13.54
LUNAR;EmailSpam-bert;A;3.4
GANoma;EmailSpam-bert;A;8.84
FTTransformer;EmailSpam-bert;B;2268.89
FEAWAD;EmailSpam-bert;B;371.63
DevNet;EmailSpam-bert;B;12.95
FTTransformer;EmailSpam-bert;C;2439.56
FEAWAD;EmailSpam-bert;C;377.31
DevNet;EmailSpam-bert;C;12.96
FTTransformer;EmailSpam-bert;D;1888.03
FEAWAD;EmailSpam-bert;D;374.27
DevNet;EmailSpam-bert;D;13.03
FTTransformer;EmailSpam-bert;E;2258.26
FEAWAD;EmailSpam-bert;E;372.93
DevNet;EmailSpam-bert;E;12.98
AE;NSL-KDD;A;7.26
VAE;NSL-KDD;A;31.76
DeepSVDD;NSL-KDD;A;5.99
DAGMM;NSL-KDD;A;24.7
SO_GAAL;NSL-KDD;A;20.61
LUNAR;NSL-KDD;A;5.56
GANoma;NSL-KDD;A;14.44
FTTransformer;NSL-KDD;B;410.58
FEAWAD;NSL-KDD;B;266.18
DevNet;NSL-KDD;B;13.37
FTTransformer;NSL-KDD;C;876.31
FEAWAD;NSL-KDD;C;268.52
DevNet;NSL-KDD;C;12.7
FTTransformer;NSL-KDD;D;954.53
FEAWAD;NSL-KDD;D;271.51
DevNet;NSL-KDD;D;13.03
FTTransformer;NSL-KDD;E;1007.04
FEAWAD;NSL-KDD;E;272.86
DevNet;NSL-KDD;E;12.52
AE;CreditCard;A;4.49
VAE;CreditCard;A;26.96
DeepSVDD;CreditCard;A;5.63
DAGMM;CreditCard;A;22.62
SO_GAAL;CreditCard;A;18.54
LUNAR;CreditCard;A;4.72
GANoma;CreditCard;A;9.6
FTTransformer;CreditCard;B;199.07999999999998
FEAWAD;CreditCard;B;263.32
DevNet;CreditCard;B;12.53
FTTransformer;CreditCard;C;327.25
FEAWAD;CreditCard;C;262.45
DevNet;CreditCard;C;13.34
FTTransformer;CreditCard;D;400.7
FEAWAD;CreditCard;D;259.68
DevNet;CreditCard;D;12.97
FTTransformer;CreditCard;E;409.5
FEAWAD;CreditCard;E;261.32
DevNet;CreditCard;E;13.19
AE;AnnThyroid;A;2.5
VAE;AnnThyroid;A;16.18
DeepSVDD;AnnThyroid;A;3.44
DAGMM;AnnThyroid;A;12.69
SO_GAAL;AnnThyroid;A;4.04
LUNAR;AnnThyroid;A;3.19
GANoma;AnnThyroid;A;5.72
FTTransformer;AnnThyroid;B;81.87
FEAWAD;AnnThyroid;B;261.67
DevNet;AnnThyroid;B;13.05
FTTransformer;AnnThyroid;C;93.37
FEAWAD;AnnThyroid;C;261.4
DevNet;AnnThyroid;C;12.54
FTTransformer;AnnThyroid;D;136.82
FEAWAD;AnnThyroid;D;257.41
DevNet;AnnThyroid;D;12.66
FTTransformer;AnnThyroid;E;179.7
FEAWAD;AnnThyroid;E;261.15
DevNet;AnnThyroid;E;12.61
AE;EmailSpam-bert;A;2.21
VAE;EmailSpam-bert;A;28.57
DeepSVDD;EmailSpam-bert;A;3.31
DAGMM;EmailSpam-bert;A;10.61
SO_GAAL;EmailSpam-bert;A;11.72
LUNAR;EmailSpam-bert;A;2.72
GANoma;EmailSpam-bert;A;7.71
FTTransformer;EmailSpam-bert;B;2588.07
FEAWAD;EmailSpam-bert;B;382.48
DevNet;EmailSpam-bert;B;12.89
FTTransformer;EmailSpam-bert;C;4156.11
FEAWAD;EmailSpam-bert;C;379.78
DevNet;EmailSpam-bert;C;12.9
FTTransformer;EmailSpam-bert;D;1654.11
FEAWAD;EmailSpam-bert;D;373.4
DevNet;EmailSpam-bert;D;12.81
FTTransformer;EmailSpam-bert;E;2082.84
FEAWAD;EmailSpam-bert;E;373.33
DevNet;EmailSpam-bert;E;12.9
AE;NSL-KDD;A;6.13
VAE;NSL-KDD;A;34.02
DeepSVDD;NSL-KDD;A;6.26
DAGMM;NSL-KDD;A;26.76
SO_GAAL;NSL-KDD;A;28.15
LUNAR;NSL-KDD;A;5.81
GANoma;NSL-KDD;A;14.7
FTTransformer;NSL-KDD;B;396.03
FEAWAD;NSL-KDD;B;276.39
DevNet;NSL-KDD;B;13.16
FTTransformer;NSL-KDD;C;804.47
FEAWAD;NSL-KDD;C;267.92
DevNet;NSL-KDD;C;12.57
FTTransformer;NSL-KDD;D;1024.51
FEAWAD;NSL-KDD;D;285.13
DevNet;NSL-KDD;D;13.16
FTTransformer;NSL-KDD;E;1102.22
FEAWAD;NSL-KDD;E;285.34000000000003
DevNet;NSL-KDD;E;13.3
AE;CreditCard;A;4.77
VAE;CreditCard;A;28.51
DeepSVDD;CreditCard;A;6.01
DAGMM;CreditCard;A;23.82
SO_GAAL;CreditCard;A;19.24
LUNAR;CreditCard;A;4.56
GANoma;CreditCard;A;9.84
FTTransformer;CreditCard;B;271.04
FEAWAD;CreditCard;B;260.81
DevNet;CreditCard;B;13.24
FTTransformer;CreditCard;C;298.71
FEAWAD;CreditCard;C;263.98
DevNet;CreditCard;C;12.83
FTTransformer;CreditCard;D;296.58
FEAWAD;CreditCard;D;274.76
DevNet;CreditCard;D;13.1
FTTransformer;CreditCard;E;430.37
FEAWAD;CreditCard;E;276.57
DevNet;CreditCard;E;13.17
AE;AnnThyroid;A;2.48
VAE;AnnThyroid;A;15.66
DeepSVDD;AnnThyroid;A;3.46
DAGMM;AnnThyroid;A;13.58
SO_GAAL;AnnThyroid;A;4.07
LUNAR;AnnThyroid;A;3.82
GANoma;AnnThyroid;A;5.77
FTTransformer;AnnThyroid;B;89.27
FEAWAD;AnnThyroid;B;273.62
DevNet;AnnThyroid;B;12.9
FTTransformer;AnnThyroid;C;119.53
FEAWAD;AnnThyroid;C;259.16
DevNet;AnnThyroid;C;13.24
FTTransformer;AnnThyroid;D;176.39
FEAWAD;AnnThyroid;D;256.92
DevNet;AnnThyroid;D;12.7
FTTransformer;AnnThyroid;E;122.62
FEAWAD;AnnThyroid;E;262.18
DevNet;AnnThyroid;E;13.39
AE;EmailSpam-bert;A;2.26
VAE;EmailSpam-bert;A;30.17
DeepSVDD;EmailSpam-bert;A;3.45
DAGMM;EmailSpam-bert;A;11.24
SO_GAAL;EmailSpam-bert;A;12.96
LUNAR;EmailSpam-bert;A;3.54
GANoma;EmailSpam-bert;A;10.6
FTTransformer;EmailSpam-bert;B;3292.15
FEAWAD;EmailSpam-bert;B;372.41
DevNet;EmailSpam-bert;B;12.97
FTTransformer;EmailSpam-bert;C;5285.96
FEAWAD;EmailSpam-bert;C;379.92
DevNet;EmailSpam-bert;C;12.94
FTTransformer;EmailSpam-bert;D;2031.07
FEAWAD;EmailSpam-bert;D;378.11
DevNet;EmailSpam-bert;D;12.98
FTTransformer;EmailSpam-bert;E;1740.61
FEAWAD;EmailSpam-bert;E;378.07
DevNet;EmailSpam-bert;E;12.94
AE;NSL-KDD;A;5.57
VAE;NSL-KDD;A;29.14
DeepSVDD;NSL-KDD;A;5.69
DAGMM;NSL-KDD;A;22.12
SO_GAAL;NSL-KDD;A;20.69
LUNAR;NSL-KDD;A;5.69
GANoma;NSL-KDD;A;14.42
FTTransformer;NSL-KDD;B;876.64
FEAWAD;NSL-KDD;B;266.48
DevNet;NSL-KDD;B;13.61
FTTransformer;NSL-KDD;C;670.44
FEAWAD;NSL-KDD;C;273.49
DevNet;NSL-KDD;C;12.62
FTTransformer;NSL-KDD;D;737.3
FEAWAD;NSL-KDD;D;288.48
DevNet;NSL-KDD;D;12.71
FTTransformer;NSL-KDD;E;937.61
FEAWAD;NSL-KDD;E;273.77
DevNet;NSL-KDD;E;12.75
AE;CreditCard;A;4.13
VAE;CreditCard;A;26.85
DeepSVDD;CreditCard;A;5.41
DAGMM;CreditCard;A;23.54
SO_GAAL;CreditCard;A;20.62
LUNAR;CreditCard;A;5.12
GANoma;CreditCard;A;9.91
FTTransformer;CreditCard;B;157.2
FEAWAD;CreditCard;B;260.91
DevNet;CreditCard;B;13.09
FTTransformer;CreditCard;C;265.42
FEAWAD;CreditCard;C;262.68
DevNet;CreditCard;C;12.96
FTTransformer;CreditCard;D;394.59000000000003
FEAWAD;CreditCard;D;258.85
DevNet;CreditCard;D;12.53
FTTransformer;CreditCard;E;360.46
FEAWAD;CreditCard;E;257.75
DevNet;CreditCard;E;12.43
AE;AnnThyroid;A;2.59
VAE;AnnThyroid;A;16.1
DeepSVDD;AnnThyroid;A;3.5
DAGMM;AnnThyroid;A;13.26
SO_GAAL;AnnThyroid;A;4.16
LUNAR;AnnThyroid;A;3.4
GANoma;AnnThyroid;A;5.66
FTTransformer;AnnThyroid;B;82.55
FEAWAD;AnnThyroid;B;257.01
DevNet;AnnThyroid;B;13.16
FTTransformer;AnnThyroid;C;110.78
FEAWAD;AnnThyroid;C;258.13
DevNet;AnnThyroid;C;12.76
FTTransformer;AnnThyroid;D;194.49
FEAWAD;AnnThyroid;D;259.13
DevNet;AnnThyroid;D;13.22
FTTransformer;AnnThyroid;E;188.43
FEAWAD;AnnThyroid;E;258.93
DevNet;AnnThyroid;E;14.12
AE;EmailSpam-bert;A;2.1
VAE;EmailSpam-bert;A;29.51
DeepSVDD;EmailSpam-bert;A;3.41
DAGMM;EmailSpam-bert;A;10.58
SO_GAAL;EmailSpam-bert;A;11.79
LUNAR;EmailSpam-bert;A;3.1
GANoma;EmailSpam-bert;A;8.49
FTTransformer;EmailSpam-bert;B;2530.11
FEAWAD;EmailSpam-bert;B;402.03
DevNet;EmailSpam-bert;B;12.71
FTTransformer;EmailSpam-bert;C;5942.05
FEAWAD;EmailSpam-bert;C;377.91
DevNet;EmailSpam-bert;C;12.64
FTTransformer;EmailSpam-bert;D;1928.13
FEAWAD;EmailSpam-bert;D;413.94
DevNet;EmailSpam-bert;D;12.93
FTTransformer;EmailSpam-bert;E;2835.05
FEAWAD;EmailSpam-bert;E;406.46
DevNet;EmailSpam-bert;E;13.01
AE;NSL-KDD;A;6.53
VAE;NSL-KDD;A;35.36
DeepSVDD;NSL-KDD;A;5.92
DAGMM;NSL-KDD;A;27.01
SO_GAAL;NSL-KDD;A;30.23
LUNAR;NSL-KDD;A;5.71
GANoma;NSL-KDD;A;13.37
FTTransformer;NSL-KDD;B;578.87
FEAWAD;NSL-KDD;B;283.69
DevNet;NSL-KDD;B;14.14
FTTransformer;NSL-KDD;C;903.38
FEAWAD;NSL-KDD;C;269.41
DevNet;NSL-KDD;C;12.66
FTTransformer;NSL-KDD;D;789.22
FEAWAD;NSL-KDD;D;277.79
DevNet;NSL-KDD;D;12.7
FTTransformer;NSL-KDD;E;1038.58
FEAWAD;NSL-KDD;E;273.40999999999997
DevNet;NSL-KDD;E;13.04
AE;CreditCard;A;4.22
VAE;CreditCard;A;27.75
DeepSVDD;CreditCard;A;5.88
DAGMM;CreditCard;A;23.31
SO_GAAL;CreditCard;A;19.36
LUNAR;CreditCard;A;4.92
GANoma;CreditCard;A;9.72
FTTransformer;CreditCard;B;175.64
FEAWAD;CreditCard;B;261.73
DevNet;CreditCard;B;12.93
FTTransformer;CreditCard;C;299.57
FEAWAD;CreditCard;C;264.08
DevNet;CreditCard;C;13.45
FTTransformer;CreditCard;D;367.4
FEAWAD;CreditCard;D;261.83
DevNet;CreditCard;D;12.94
FTTransformer;CreditCard;E;405.12
FEAWAD;CreditCard;E;262.85
DevNet;CreditCard;E;13.23
AE;AnnThyroid;A;2.76
VAE;AnnThyroid;A;16.78
DeepSVDD;AnnThyroid;A;3.52
DAGMM;AnnThyroid;A;14.48
SO_GAAL;AnnThyroid;A;4.26
LUNAR;AnnThyroid;A;3.14
GANoma;AnnThyroid;A;5.73
FTTransformer;AnnThyroid;B;67.98
FEAWAD;AnnThyroid;B;263.5
DevNet;AnnThyroid;B;12.94
FTTransformer;AnnThyroid;C;102.8
FEAWAD;AnnThyroid;C;264.56
DevNet;AnnThyroid;C;13.1
FTTransformer;AnnThyroid;D;155.92000000000002
FEAWAD;AnnThyroid;D;268.19
DevNet;AnnThyroid;D;12.85
FTTransformer;AnnThyroid;E;173.31
FEAWAD;AnnThyroid;E;266.39
DevNet;AnnThyroid;E;13.25
AE;EmailSpam-bert;A;1.95
VAE;EmailSpam-bert;A;28.69
DeepSVDD;EmailSpam-bert;A;3.32
DAGMM;EmailSpam-bert;A;10.76
SO_GAAL;EmailSpam-bert;A;12.15
LUNAR;EmailSpam-bert;A;3.2
GANoma;EmailSpam-bert;A;8.77
FTTransformer;EmailSpam-bert;B;2435.71
FEAWAD;EmailSpam-bert;B;388.23
DevNet;EmailSpam-bert;B;13.06
FTTransformer;EmailSpam-bert;C;2698.79
FEAWAD;EmailSpam-bert;C;400.31
DevNet;EmailSpam-bert;C;14.44
FTTransformer;EmailSpam-bert;D;1645.04
FEAWAD;EmailSpam-bert;D;376.85
DevNet;EmailSpam-bert;D;13.19
FTTransformer;EmailSpam-bert;E;2833.78
FEAWAD;EmailSpam-bert;E;390.4
DevNet;EmailSpam-bert;E;12.83
AE;NSL-KDD;A;6.31
VAE;NSL-KDD;A;31.94
DeepSVDD;NSL-KDD;A;5.86
DAGMM;NSL-KDD;A;23.33
SO_GAAL;NSL-KDD;A;21.82
LUNAR;NSL-KDD;A;5.21
GANoma;NSL-KDD;A;13.05
FTTransformer;NSL-KDD;B;306.43
FEAWAD;NSL-KDD;B;267.33
DevNet;NSL-KDD;B;13.14
FTTransformer;NSL-KDD;C;867.81
