auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.4047,0.7769,0.4065,0.3818,0.42,0.4,CreditCard,B,DAGMM,0.09090909090909091,2200,200
0.8101,0.9885,0.812,0.4381,1.0,0.6093,EmailSpam-bert,C,FEAWAD,0.04397705544933078,1046,46
0.3342,0.7586,0.3369,0.3273,0.36,0.3429,AnnThyroid,A,AE,0.09090909090909091,1100,100
0.6961,0.9426,0.7025,0.6636,0.73,0.6952,CreditCard,C,VAE,0.09090909090909091,2200,200
0.9588,0.973,0.9588,0.85,0.935,0.8905,NSL-KDD,A,FTTransformer,0.09090909090909091,2200,200
0.6595,0.9491,0.6607,0.5409,0.595,0.5667,NSL-KDD,B,VAE,0.09090909090909091,2200,200
0.7881,0.9432,0.7926,0.7591,0.835,0.7952,CreditCard,B,DeepSVDD,0.09090909090909091,2200,200
0.2307,0.7462,0.2364,0.2818,0.31,0.2952,AnnThyroid,C,LUNAR,0.09090909090909091,1100,100
0.1706,0.5908,0.1758,0.2455,0.27,0.2571,AnnThyroid,D,GANoma,0.09090909090909091,1100,100
0.9598,0.9737,0.9598,0.8545,0.94,0.8952,NSL-KDD,B,DevNet,0.09090909090909091,2200,200
0.901,0.9727,0.9018,0.419,0.9565,0.5828,EmailSpam-bert,A,DevNet,0.04397705544933078,1046,46
0.8551,0.9883,0.8561,0.7818,0.86,0.819,AnnThyroid,A,DevNet,0.09090909090909091,1100,100
0.2331,0.7538,0.2389,0.2727,0.3,0.2857,AnnThyroid,D,LUNAR,0.09090909090909091,1100,100
0.1202,0.78,0.1266,0.1429,0.3261,0.1987,EmailSpam-bert,A,AE,0.04397705544933078,1046,46
0.613,0.9358,0.6141,0.5045,0.555,0.5286,NSL-KDD,B,AE,0.09090909090909091,2200,200
0.8616,0.9889,0.8626,0.7818,0.86,0.819,AnnThyroid,B,DevNet,0.09090909090909091,1100,100
0.0624,0.6196,0.0656,0.0762,0.1739,0.106,EmailSpam-bert,D,SO_GAAL,0.04397705544933078,1046,46
0.1025,0.7578,0.1089,0.1333,0.3043,0.1854,EmailSpam-bert,A,GANoma,0.04397705544933078,1046,46
0.8478,0.9876,0.8491,0.7727,0.85,0.8095,AnnThyroid,D,FTTransformer,0.09090909090909091,1100,100
0.9456,0.9752,0.9457,0.8318,0.915,0.8714,CreditCard,C,DevNet,0.09090909090909091,2200,200
0.1085,0.6438,0.1118,0.0762,0.1739,0.106,EmailSpam-bert,B,SO_GAAL,0.04397705544933078,1046,46
0.1114,0.7758,0.1171,0.1524,0.3478,0.2119,EmailSpam-bert,B,GANoma,0.04397705544933078,1046,46
0.6831,0.9104,0.5546,0.5927,0.735,0.6562,CreditCard,D,SO_GAAL,0.09090909090909091,2200,200
0.8004,0.9137,0.801,0.7182,0.79,0.7524,CreditCard,D,GANoma,0.09090909090909091,2200,200
0.8582,0.924,0.8587,0.7636,0.84,0.8,CreditCard,C,GANoma,0.09090909090909091,2200,200
0.251,0.7699,0.2536,0.2318,0.255,0.2429,NSL-KDD,C,LUNAR,0.09090909090909091,2200,200
0.162,0.6656,0.1664,0.1909,0.21,0.2,AnnThyroid,C,DAGMM,0.09090909090909091,1100,100
0.5776,0.9384,0.5799,0.4864,0.535,0.5095,NSL-KDD,A,DeepSVDD,0.09090909090909091,2200,200
0.6203,0.9482,0.6224,0.5136,0.565,0.5381,NSL-KDD,D,VAE,0.09090909090909091,2200,200
0.6752,0.9642,0.6777,0.7136,0.785,0.7476,NSL-KDD,A,GANoma,0.09090909090909091,2200,200
0.5829,0.9395,0.5844,0.4409,0.485,0.4619,NSL-KDD,B,DeepSVDD,0.09090909090909091,2200,200
0.1169,0.765,0.1241,0.1524,0.3478,0.2119,EmailSpam-bert,B,AE,0.04397705544933078,1046,46
0.2581,0.7721,0.2657,0.2909,0.32,0.3048,AnnThyroid,B,LUNAR,0.09090909090909091,1100,100
0.7807,0.9646,0.7829,0.3905,0.8913,0.543,EmailSpam-bert,D,DevNet,0.04397705544933078,1046,46
0.0506,0.5417,0.0575,0.0286,0.0652,0.0397,EmailSpam-bert,D,DAGMM,0.04397705544933078,1046,46
0.9646,0.9893,0.9646,0.8682,0.955,0.9095,NSL-KDD,B,FTTransformer,0.09090909090909091,2200,200
0.3241,0.7891,0.328,0.4045,0.445,0.4238,CreditCard,D,LUNAR,0.09090909090909091,2200,200
0.2135,0.6698,0.2174,0.2455,0.27,0.2571,AnnThyroid,B,DeepSVDD,0.09090909090909091,1100,100
0.8417,0.9875,0.843,0.419,0.9565,0.5828,EmailSpam-bert,D,FEAWAD,0.04397705544933078,1046,46
0.0755,0.6778,0.0805,0.0857,0.1957,0.1192,EmailSpam-bert,D,GANoma,0.04397705544933078,1046,46
0.7489,0.9637,0.7505,0.6727,0.74,0.7048,AnnThyroid,B,FEAWAD,0.09090909090909091,1100,100
0.0951,0.7702,0.0996,0.1048,0.2391,0.1457,EmailSpam-bert,D,VAE,0.04397705544933078,1046,46
0.3263,0.7472,0.3296,0.3273,0.36,0.3429,AnnThyroid,B,VAE,0.09090909090909091,1100,100
